Name,PercentBelowPoverty,Unemployed,NoHighSchoolDiploma,PerCapitaIncome,Hardship
Riverdale,56.5,34.6,27.5,8201,98
South Lawndale,30.7,15.8,54.8,10402,96
Fuller Park,51.2,33.9,26.6,10432,97
West Garfield Park,41.7,25.8,24.5,10934,92
West Englewood,34.4,35.9,26.3,11317,89
Englewood,46.6,28,28.5,11888,94
North Lawndale,43.1,21.2,27.6,12034,87
Gage Park,23.4,18.2,51.5,12171,93
Burnside,33,18.6,19.3,12515,79
New City,29,23,41.5,12765,91
East Garfield Park,42.4,19.6,21.3,12961,83
Brighton Park,23.6,13.9,45.1,13089,84
Chicago Lawn,27.9,17.1,31.2,13231,80
Humboldt park,33.9,17.3,35.4,13781,85
Washington Park,42.1,28.6,25.4,13785,88
South Deering,29.2,16.3,21,14685,65
Hermosa,20.5,13.1,41.6,15089,71
Belmont Cragin,18.7,14.6,37.3,15461,70
Auburn Gresham,27.6,28.3,18.5,15528,74
West Elsdon,15.6,16.7,37,15754,69
Austin,28.6,22.6,24.4,15957,73
Archer Heights,14.1,16.5,35.9,16134,67
Armour Square,40.1,16.7,34.5,16148,82
Lower West Side,25.8,15.8,40.7,16444,76
West Pullman,25.9,19.4,20.5,16563,62
South Chicago,29.8,19.7,26.6,16579,75
West Lawn,14.9,9.6,33.6,16907,56
McKinley Park,18.7,13.4,32.9,16954,61
East Side,19.2,12.1,31.9,17104,64
Greater Grand Crossing,29.6,23,16.5,17285,66
Roseland,19.8,20.3,16.9,17949,52
Woodlawn,30.7,23.4,16.5,18672,58
Chatham,27.8,24,14.5,18881,60
Oakland,39.7,28.7,18.4,19252,78
South Shore,31.1,20,14,19398,55
Washington Height,16.9,20.8,13.7,19713,48
Avondale,15.3,9.2,24.7,20039,42
Pullman,21.6,22.8,13.1,20588,51
Albany Park,19.2,10,32.9,21323,53
Montclaire,15.3,13.8,23.5,22014,50
Hegewisch,17.1,9.6,19.2,22677,44
Bridgeport,18.9,13.7,22.2,22694,43
West Ridge,17.2,8.8,20.8,23040,46
Grand Boulevard,29.3,24.3,15.9,23472,57
Ashburn,10.4,11.7,17.7,23482,37
Douglas,29.6,18.2,14.3,23791,47
Rogers Park,23.6,8.7,18.2,23939,39
Portage Park,11.6,12.6,19.3,24336,35
Avalon Park,17.2,21.1,10.6,24454,41
Clearing,8.9,9.5,18.8,25113,29
O'Hare,15.4,7.1,10.9,25828,24
Dunning,10.6,10,16.2,26282,28
Garfield Ridge,8.8,11.3,19.3,26353,32
North Park,13.2,9.9,14.4,26576,33
Morgan Park,13.2,15,10.8,27149,30
Irving Park,13.1,10,22.4,27249,34
Jefferson Park,8.6,12.4,13.4,27751,25
CHICAGO,19.7,12.9,19.5,28202,
Calumet Heights,11.5,20,11,28887,38
Logan Square,16.8,8.2,14.8,31908,23
Norwood Park,5.4,9,11.5,32875,21
Edgewater,18.2,9.2,9.7,33385,19
Mount Greenwood,3.4,8.7,4.3,34381,16
Uptown,24,8.9,11.8,35787,20
Kenwood,21.7,15.7,11.3,35911,26
Lincoln Square,10.9,8.2,13.4,37524,17
Hyde Park,18.4,8.4,4.3,39056,14
Beverly,5.1,8,3.7,39523,12
Edison Park,3.3,6.5,7.4,40959,8
West Town,14.7,6.6,12.9,43198,10
Forest Glen,7.5,6.8,4.9,44164,11
Near West Side,20.6,10.7,9.6,44689,15
North Center,7.5,5.2,4.5,57123,6
Near South Side,13.8,4.9,7.4,59077,7
Lake View,11.4,4.7,2.6,60058,5
Loop,14.7,5.7,3.1,65526,3
Lincoln Park,12.3,5.1,3.6,71551,2
Near North Side,12.9,7,2.5,88669,1
